playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,BACON,TAV
sogarer01,98,18,2,4,39,48,32,61,8,1,3,9,3,392,433,0.250,0.311,0.337,0.648,0.087,0.290,-8.1,14.09%,7.39%,1.91,0.287,0.296,0.243
solando01,64,11,1,4,26,25,17,51,7,1,4,2,1,257,281,0.249,0.306,0.346,0.652,0.097,0.291,-5.0,18.15%,6.05%,3.00,0.297,0.311,0.244
solanjh01,44,10,1,5,21,22,16,39,5,1,1,3,1,191,210,0.230,0.293,0.372,0.665,0.141,0.294,-3.2,18.57%,7.62%,2.44,0.265,0.289,0.246
solarya01,129,26,3,13,57,60,43,68,14,1,5,2,1,486,539,0.265,0.331,0.412,0.743,0.146,0.327,5.8,12.62%,7.98%,1.58,0.286,0.309,0.270
solerjo01,100,21,2,12,53,45,33,112,10,4,3,4,1,373,412,0.268,0.333,0.432,0.764,0.164,0.337,7.9,27.18%,8.01%,3.39,0.353,0.383,0.277
solisal01,46,9,1,5,22,22,16,43,4,1,2,3,1,181,201,0.254,0.322,0.398,0.719,0.144,0.318,0.8,21.39%,7.96%,2.69,0.308,0.333,0.264
soriaal01,51,11,0,8,28,26,12,53,4,1,2,4,2,207,224,0.246,0.294,0.415,0.710,0.169,0.310,-0.5,23.66%,5.36%,4.42,0.295,0.331,0.258
sotoge01,68,15,1,11,34,33,28,81,6,1,2,2,2,282,314,0.241,0.314,0.418,0.733,0.177,0.321,2.1,25.80%,8.92%,2.89,0.300,0.338,0.266
sotone01,44,9,1,5,20,21,15,45,5,1,2,3,1,184,203,0.239,0.303,0.380,0.684,0.141,0.303,-1.7,22.17%,7.39%,3.00,0.291,0.317,0.252
souzast01,87,16,1,15,43,55,42,122,8,1,4,10,5,368,416,0.236,0.321,0.408,0.729,0.171,0.322,2.9,29.33%,10.10%,2.90,0.312,0.354,0.266
spande01,106,21,4,5,30,52,31,49,6,1,2,14,3,368,404,0.288,0.347,0.408,0.754,0.120,0.332,6.1,12.13%,7.67%,1.58,0.322,0.332,0.274
spangco01,92,18,4,8,34,44,30,83,6,1,2,10,4,338,378,0.272,0.335,0.420,0.755,0.148,0.331,5.5,21.96%,7.94%,2.77,0.340,0.361,0.273
springe01,104,18,2,19,53,60,49,122,6,2,8,12,3,400,460,0.260,0.352,0.458,0.810,0.198,0.355,15.6,26.52%,10.65%,2.49,0.328,0.374,0.290
stanlco01,49,10,1,6,24,25,16,43,4,1,2,3,1,186,205,0.263,0.328,0.425,0.753,0.161,0.331,2.9,20.98%,7.80%,2.69,0.314,0.343,0.273
stantmi03,99,20,1,24,68,59,56,117,9,9,3,6,1,365,423,0.271,0.373,0.529,0.901,0.258,0.396,28.2,27.66%,13.24%,2.09,0.335,0.399,0.320
stassma01,52,10,1,6,25,26,16,46,5,1,2,3,1,190,210,0.274,0.337,0.432,0.768,0.158,0.337,4.1,21.90%,7.62%,2.88,0.333,0.361,0.277
stewach01,69,11,0,4,26,25,22,52,6,1,4,3,1,269,301,0.257,0.322,0.342,0.664,0.086,0.298,-3.6,17.28%,7.31%,2.36,0.305,0.318,0.249
stewaia01,45,9,2,5,22,23,15,51,4,1,2,3,1,188,207,0.239,0.302,0.388,0.691,0.149,0.304,-1.4,24.64%,7.25%,3.40,0.303,0.328,0.254
straury01,51,9,1,6,23,29,17,47,5,1,2,4,2,203,226,0.251,0.315,0.394,0.709,0.143,0.313,0.1,20.80%,7.52%,2.76,0.300,0.327,0.260
stubbdr01,71,14,2,9,31,43,26,94,3,1,2,11,2,281,312,0.253,0.320,0.413,0.733,0.160,0.322,2.2,30.13%,8.33%,3.62,0.348,0.380,0.266
suareeu01,104,19,2,12,48,50,28,102,8,1,5,5,2,389,427,0.267,0.325,0.419,0.744,0.152,0.326,4.4,23.89%,6.56%,3.64,0.335,0.362,0.269
sucreje01,56,12,1,5,25,26,17,53,8,1,1,2,1,251,277,0.223,0.275,0.339,0.614,0.116,0.272,-9.1,19.13%,6.14%,3.12,0.264,0.283,0.230
susacan01,64,15,2,7,35,33,24,71,4,1,2,2,1,257,284,0.249,0.318,0.405,0.723,0.156,0.318,1.1,25.00%,8.45%,2.96,0.318,0.344,0.264
susdost01,46,10,1,5,22,23,16,40,5,1,2,3,1,180,200,0.256,0.323,0.406,0.729,0.150,0.322,1.4,20.00%,8.00%,2.50,0.304,0.329,0.266
suzukic01,106,12,3,4,29,46,27,63,6,2,1,13,4,421,458,0.252,0.298,0.323,0.621,0.071,0.277,-13.0,13.76%,5.90%,2.33,0.288,0.296,0.234
suzukku01,113,24,1,6,54,41,33,63,10,3,6,2,1,442,490,0.256,0.316,0.355,0.671,0.100,0.300,-5.1,12.86%,6.73%,1.91,0.287,0.298,0.251
sweenda02,53,12,2,7,29,28,24,57,5,1,2,3,3,222,249,0.239,0.319,0.405,0.724,0.167,0.319,1.2,22.89%,9.64%,2.38,0.291,0.321,0.264
sweenry01,52,11,1,5,22,23,17,39,4,1,1,2,1,202,223,0.257,0.318,0.396,0.714,0.139,0.315,0.3,17.49%,7.62%,2.29,0.297,0.319,0.261
swihabl01,88,19,1,8,39,50,25,84,9,1,2,5,2,325,354,0.271,0.327,0.409,0.736,0.138,0.323,2.9,23.73%,7.06%,3.36,0.343,0.365,0.267
swishni01,74,16,1,10,37,35,39,83,8,1,2,1,0,324,370,0.228,0.315,0.377,0.692,0.148,0.308,-1.6,22.43%,10.54%,2.13,0.277,0.307,0.256
szczuma01,56,12,1,6,26,26,19,49,5,1,1,4,1,224,247,0.250,0.311,0.393,0.704,0.143,0.310,-0.5,19.84%,7.69%,2.58,0.296,0.320,0.258
tabatjo01,60,10,2,4,25,24,16,40,8,1,3,2,2,218,239,0.275,0.333,0.394,0.728,0.119,0.322,1.7,16.74%,6.69%,2.50,0.322,0.337,0.266
tanakke01,46,8,1,5,21,23,17,37,4,1,1,4,1,180,200,0.256,0.323,0.394,0.718,0.139,0.318,0.7,18.50%,8.50%,2.18,0.297,0.322,0.263
tartatr01,47,9,1,6,22,23,16,41,4,1,2,3,1,181,201,0.260,0.327,0.420,0.747,0.160,0.328,2.5,20.40%,7.96%,2.56,0.306,0.336,0.271
taveros01,52,9,1,4,23,22,16,42,7,1,2,2,1,207,225,0.251,0.311,0.362,0.673,0.111,0.299,-2.4,18.67%,7.11%,2.63,0.298,0.315,0.250
tayloch03,60,12,1,4,21,29,20,66,4,1,2,6,3,241,266,0.249,0.312,0.357,0.669,0.108,0.298,-3.3,24.81%,7.52%,3.30,0.327,0.343,0.249
taylomi01,45,9,1,4,19,22,18,43,4,1,2,3,1,182,203,0.247,0.322,0.374,0.695,0.126,0.310,-0.5,21.18%,8.87%,2.39,0.304,0.324,0.258
taylomi02,101,18,2,13,57,50,35,133,7,6,2,12,4,421,460,0.240,0.301,0.385,0.686,0.145,0.305,-2.8,28.91%,7.61%,3.80,0.320,0.351,0.255
teagata01,45,8,1,5,23,20,14,45,4,1,1,2,1,192,210,0.234,0.290,0.365,0.654,0.130,0.289,-4.0,21.43%,6.67%,3.21,0.282,0.306,0.243
teixema01,99,19,1,23,67,55,53,96,10,5,5,3,1,418,482,0.237,0.330,0.452,0.782,0.215,0.345,12.2,19.92%,11.00%,1.81,0.254,0.307,0.283
tejadmi01,48,8,1,5,21,20,13,35,5,1,1,2,1,182,200,0.264,0.316,0.401,0.717,0.137,0.316,0.4,17.50%,6.50%,2.69,0.303,0.327,0.262
tejadru01,98,21,0,6,36,41,44,79,8,6,6,3,2,392,445,0.250,0.335,0.349,0.684,0.099,0.312,-0.5,17.75%,9.89%,1.80,0.300,0.313,0.259
tekotbl01,46,9,1,5,21,23,17,41,4,1,2,3,2,179,200,0.257,0.328,0.402,0.731,0.145,0.323,1.6,20.50%,8.50%,2.41,0.308,0.333,0.267
telisto01,51,9,1,4,24,24,15,43,6,2,3,3,1,208,228,0.245,0.305,0.356,0.661,0.111,0.296,-3.2,18.86%,6.58%,2.87,0.292,0.309,0.247
terdojo01,52,12,1,5,22,26,19,51,5,2,2,3,1,208,231,0.250,0.319,0.389,0.708,0.139,0.315,0.3,22.08%,8.23%,2.68,0.309,0.331,0.261
tholejo01,51,9,1,3,19,24,20,46,6,1,1,2,2,217,241,0.235,0.303,0.327,0.630,0.092,0.283,-5.8,19.09%,8.30%,2.30,0.286,0.298,0.238
thomacl02,43,9,0,4,16,24,18,48,3,1,1,2,1,180,200,0.239,0.312,0.356,0.667,0.117,0.298,-2.3,24.00%,9.00%,2.67,0.305,0.326,0.249
thomptr01,66,14,3,9,31,33,24,55,6,1,2,3,1,242,268,0.273,0.343,0.467,0.810,0.194,0.352,8.5,20.52%,8.96%,2.29,0.320,0.353,0.288
tollest01,56,12,2,5,23,29,18,53,5,1,2,4,1,217,241,0.258,0.321,0.401,0.722,0.143,0.318,0.9,21.99%,7.47%,2.94,0.321,0.341,0.263
