Tm,F,W,L,GB,SRS,xW,xL
TBR,F,40,32,--,0.6,86,76
NYY,F,38,32,1,0.7,85,77
TOR,F,38,34,2,1.3,83,79
BAL,F,36,33,2.5,0.9,83,79
BOS,F,31,40,8.5,-0.2,76,86
Cent,,W,L,GB,SRS,,
KCR,F,40,27,--,0.9,89,73
MIN,F,38,32,3.5,0.2,85,77
DET,F,36,34,5.5,0.1,82,80
CLE,F,32,37,9,-0.2,78,84
CHW,F,30,39,11,-0.9,76,86
West,,W,L,GB,SRS,,
HOU,F,41,31,--,0.7,87,75
TEX,F,37,33,3,0.5,83,79
LAA,F,36,35,4.5,0.5,82,80
SEA,F,32,39,8.5,-0.3,77,85
OAK,F,31,41,10,0.8,75,87
